IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
103.20.222.150,103.20.222.150,cloudflare-dns.com,"DigiCert Inc",HK
103.20.222.112,103.20.222.112,102sl.com,"Let's Encrypt",HK
103.20.222.114,103.20.222.114,outnumber4.e1racecar.com,"Let's Encrypt",HK
103.20.222.100,103.20.222.100,images.apple.com,"Apple Inc.",HK
103.20.222.120,103.20.222.120,spv3.realdream.me,"ZeroSSL",HK
103.20.222.131,103.20.222.131,hkcmi.vic.ac,"Let's Encrypt",HK
103.20.222.130,103.20.222.130,yahoo.com,"DigiCert Inc",HK
103.20.222.159,103.20.222.159,api.difysaas.top,"Let's Encrypt",HK
103.20.222.54,103.20.222.54,yahoo.com,"DigiCert Inc",HK
103.20.222.170,103.20.222.170,hk.videorbt.com,"ZeroSSL",HK
103.20.222.176,103.20.222.176,pr2.cmliveon.online,"Let's Encrypt",HK
103.20.222.177,103.20.222.177,*.miracleido.top,"ZeroSSL",HK
103.20.223.6,103.20.223.6,gjx.one,"ZeroSSL",HK
103.20.223.19,103.20.223.19,www.cloudflare.com,"Google Trust Services",HK
103.20.223.31,103.20.223.31,programme.tvb.com,"Google Trust Services",HK
103.20.223.44,103.20.223.44,xd.lhym.xyz,"ZeroSSL",HK
103.20.223.48,103.20.223.48,images.apple.com,"Apple Inc.",HK
103.20.223.69,103.20.223.69,www.maomi-03.cc,"Let's Encrypt",HK
103.20.223.68,103.20.223.68,CloudFlare Origin Certificate,"CloudFlare, Inc.",HK
103.20.223.131,103.20.223.131,source.shidaixinxi.com,"Let's Encrypt",HK
103.20.223.149,103.20.223.149,hk.helium3.org,"Let's Encrypt",HK
103.20.223.179,103.20.223.179,lofi.molemoleyu.xyz,"Let's Encrypt",HK
103.20.223.186,103.20.223.186,imsw.us,"Let's Encrypt",HK
103.20.223.204,103.20.223.204,cloudflare-dns.com,"DigiCert Inc",HK
103.20.223.209,103.20.223.209,hk.mindray.pw,"ZeroSSL",HK
103.20.223.212,103.20.223.212,cloudflare-dns.com,"DigiCert Inc",HK
103.20.219.11,103.20.219.11,adatnagok.my.id,"Dis",ID
103.20.219.1,103.20.219.1,*.humbanghasundutankab.go.id,"Sectigo Limited",ID
103.20.215.196,103.20.215.196,cancer.candrol.com,"Let's Encrypt",IN
103.20.215.109,103.20.215.109,*.mssplonline.com,"Sectigo Limited",IN
103.20.215.105,103.20.215.105,auctionfocus.dnsracks.com,"Let's Encrypt",IN
103.20.215.78,103.20.215.78,vps.ddavaluation.com,"Let's Encrypt",IN
103.20.215.76,103.20.215.76,kalibreglobal.dnsracks.com,"Let's Encrypt",IN
103.20.215.59,103.20.215.59,arinfotech.arinfotech.co,"Let's Encrypt",IN
103.20.214.254,103.20.214.254,logswatch.dnsracks.com,"Let's Encrypt",IN
103.20.214.154,103.20.214.154,apps.belmac.in,"Let's Encrypt",IN
103.20.214.150,103.20.214.150,tronmagneto.dnsracks.com,"Let's Encrypt",IN
103.20.214.142,103.20.214.142,wiplcorp.dnsracks.com,"Let's Encrypt",IN
103.20.214.141,103.20.214.141,sbicaptrustee.com,"Let's Encrypt",IN
